No,SKU Description,MRP,current price,url,,
23,Tiolet Soaps,VLN,VLN OBUTTER 75GMS,30,not found,not found
24,Tiolet Soaps,Vivel Soaps,VIVEL Mix fruit cream100 GMS(CARTON),23,not found,http://www.shopclues.com/vivel-mixed-fruit--cream-125gm-10025gm-free-3.html
25,Tiolet Soaps,Vivel Soaps,VIVEL Mix fruit cream 100*4 (CARTON),80,not found,not found
26,Tiolet Soaps,Vivel Soaps,VIVEL GREEN TEA 100 GMS,23,not found,not found
27,Tiolet Soaps,Vivel Soaps,VIVEL GREEN TEA 100 X 4 GMS,90,not found,not found
28,Tiolet Soaps,Vivel Soaps,VIVEL Aloevera100 GMS(CARTON),23,not found,not found
29,Tiolet Soaps,Vivel Soaps,VIVEL Aloevera 100*4GMS(CART),80,not found,not found
30,Tiolet Soaps,Vivel Soaps,VIVEL DOUBLE MOISTURISER 100X4GMS,94,not found,not found
31,Shower Gel,FDW Shower Gel,FDW Clear spring SHOWER GEL 250ML,195,not found,not found
32,Shower Gel,FDW Shower Gel,FDW Mild Dew SHOWER GEL 250ML,195,not found,not found
33,Shower Gel,FDW Shower Gel,FDW Exotic Dream SHOWER GEL 250ML,195,not found,not found
34,Shower Gel,FDW Shower Gel,FDW Pure Rio Splash SHOWER GEL 250ML,195,180,not found
35,Shower Gel,FDW Shower Gel,FDW Energizing sport SHOWER GEL 250ML,195,195,http://www.shopclues.com/fdw-men-shower-gel-energizing-sport-250ml--fdw-face-wash-clear-skin-50gfree.html
36,Shower Gel,FDW Shower Gel,FDW Refreshing Pulse SHOWER GEL 250ML,195,195,http://www.shopclues.com/fdw-men-shower-gel-refreshing-pulse-250mlfdw-face-wash-clear-skin-50gfree.html
37,Shower Gel,FDW Shower Gel,FDW Invigorating Musk SHOWER GEL 250ML,195,not found,http://www.shopclues.com/fdw-men-shower-gel-invigorating-musk-250mlfdw-face-wash-clear-skin-50gfree.html
38,Shower Gel,FDW Shower Gel,FDW La Fantassia SHOWER GEL 250ML,195,not found,not found
39,Shower Gel,FDW Shower Gel,FDW Quick wash 250ML,195,not found,not found
40,Face wash,FDW AQP Face Wash,FDW FOAMING FACEWASH 45ML,99,not found,not found
41,Face wash,FDW AQP Face Wash,FDW FOAMING FACEWASH 150ML,199,not found,not found
42,Face wash,FDW AQP Face Wash,FDW MEN SKIN BRIGHTENING FW 50GMS,95,not found,not found
43,Face wash,FDW AQP Face Wash,FDW MEN SKIN BRIGHTENING FW 100GMS,180,185,http://www.shopclues.com/fdw-men-skin-brightening-facewash-100-gm-with-50gm-free.html
44,Face wash,FDW AQP Face Wash,FDW MEN CLEAR SKIN FW 50GMS,95,not found,not found
45,Face wash,FDW AQP Face Wash,FDW MEN CLEAR SKIN FW 100GMS,180,not found,not found
46,Face wash,Vivel FW,VIVEL ALOE VERA 3IN1 FW 100ML,90,not found,not found
47,Face wash,Vivel FW,VIVEL ALOE VERA 3IN1 FW 50ML,50,not found,not found
48,Face wash,Vivel FW,VIVEL GREEN TEA 3IN1 FW 50ML,50,not found,not found
49,Face wash,Vivel FW,VIVEL GREEN TEA 3IN1 FW 100ML,90,not found,not found
50,Deo.,Cologne,ENGAGE XX1 COLOGNE 150ML,275,not found,not found
51,Deo.,Cologne,ENGAGE XX2 COLOGNE 150ML,275,not found,not found
52,Deo.,Cologne,ENGAGE XX3 COLOGNE 150ML,275,not found,not found
53,Deo.,Cologne,ENGAGE XX4 COLOGNE 150ML,275,275,http://www.shopclues.com/engage-deodorant-xx4-cologne-spray--for-men-150ml.html
54,Deo.,Cologne,ENGAGE G1 COLOGNE 150ML,275,not found,not found
55,Deo.,Cologne,ENGAGE G2 COLOGNE 150ML,275,not found,not found
56,Deo.,Cologne,ENGAGE G3 COLOGNE 150ML,275,not found,not found
57,Deo.,Cologne,ENGAGE G4 COLOGNE 150ML,275,275,http://www.shopclues.com/engage-deodorant-g4-cologne-spray--for-women-150ml.html
58,Deo.,Deodorant,ENGAGE BLUSH DEO 150ML,190,not found,not found
